dish_id,total_carb
dish_1562688426,5.19
dish_1561662054,26.351543
dish_1560455030,4.625
dish_1558372433,0.429
dish_1565640549,7.043886
dish_1563207364,30.657
dish_1561575474,17.412746
dish_1550795690,18.34
dish_1563216717,16.284782
dish_1565972591,3.66
dish_1568649312,10.92
dish_1550876012,12.46
dish_1566245398,4.258222
dish_1563381680,0.084
dish_1562183096,3.28026
dish_1559844951,22.792
dish_1566417398,2.088042
dish_1568144828,10.369692
dish_1550708440,9.75
dish_1551307090,11.48
dish_1563468327,57.495316
dish_1562862493,2.144
dish_1558549008,4.485
dish_1551226363,3.43
dish_1551374440,12.42
dish_1563824250,3.87
dish_1563822597,7.626667
dish_1551492561,7.446
dish_1551237016,0.0
dish_1551489812,4.095
dish_1558459276,22.120001
dish_1560974707,7.088692
dish_1564686855,85.930336
dish_1565119669,10.842
dish_1566417516,23.505039
dish_1558724031,25.789999
dish_1551494178,36.071999
dish_1551233434,5.182
dish_1551390304,9.75
dish_1558637393,29.056
dish_1563393217,9.802668
dish_1562789268,64.756828
dish_1568144803,8.068691
dish_1551487158,5.166
dish_1559700851,1.897059
dish_1561997365,6.048
dish_1551395233,5.964
dish_1561492204,49.120712
dish_1567613057,45.862511
dish_1550775393,28.189999
dish_1564761488,40.558998
dish_1551376970,29.699999
dish_1559678330,5.269608
dish_1565033110,9.355
dish_1564428444,14.948835
dish_1558459115,43.459003
dish_1564082178,9.967051
dish_1558723777,20.02
dish_1558721757,30.191
dish_1551227216,0.792
dish_1564777960,16.270294
dish_1551492702,5.7
dish_1550771267,4.06
dish_1551390215,3.01
dish_1563468269,32.762001
dish_1558380557,24.960001
dish_1551565884,6.16
dish_1558637769,21.559999
dish_1564415022,0.931
dish_1558724959,57.004002
dish_1558115867,5.221
dish_1551391302,6.32
dish_1551222877,21.599998
dish_1561580370,16.20141
dish_1561061658,24.678637
dish_1559838402,43.154999
dish_1566242164,9.891001
dish_1550775363,28.190001
dish_1564686832,64.516342
dish_1566502211,10.191
dish_1551314967,15.960001
dish_1561753238,14.026631
dish_1566938026,37.536308
dish_1559751801,32.778
dish_1551389684,1.287
dish_1558457530,3.2
dish_1551563213,11.004
dish_1558723449,20.02
dish_1567628157,25.867041
dish_1565728415,16.724396
dish_1550775318,11.549999
dish_1565383026,12.198999
dish_1558642089,9.6
dish_1550863247,4.62
dish_1550772027,15.336
dish_1550797833,19.098
dish_1562959732,31.110981
dish_1560368972,13.621221
dish_1561576590,3.387423
dish_1558723866,2.95
dish_1564778030,23.514265
dish_1551222759,3.33
dish_1551380950,0.273
dish_1561392512,10.5
dish_1564675118,34.125175
dish_1559319860,0.182
dish_1559242568,30.855999
dish_1563824339,12.075
dish_1551306452,16.799999
dish_1559846099,15.712999
dish_1562873155,5.39175
dish_1562094621,2.38
dish_1563900150,10.284879
dish_1562086702,0.462
dish_1561662458,21.055183
dish_1558720364,19.879999
dish_1559845290,14.62
dish_1550707156,26.605999
dish_1559844506,25.1
dish_1560360055,4.154
dish_1551488861,2.646
dish_1567106825,3.357732
dish_1566849327,14.87
dish_1560527191,28.933577
dish_1563898786,11.427504
dish_1551381829,0.507
dish_1551376692,9.03
dish_1551565752,13.64
dish_1560973958,20.729744
dish_1550861432,6.58
dish_1551393210,31.131001
dish_1563206582,16.967773
dish_1565207815,7.094023
dish_1551236712,8.28
dish_1550712024,5.984
dish_1551139367,9.42
dish_1568314823,8.1
dish_1565119464,44.41399
dish_1565725047,9.372
dish_1551236011,21.995998
dish_1550705623,4.59
