dish_id,total_calories,total_mass,total_fat,total_carb,total_protein
dish_1561662216,300.794281,193.0,12.387489,28.21829,18.63397
dish_1562688426,137.569992,88.0,8.256,5.19,10.297
dish_1561662054,419.438782,292.0,23.838249,26.351543,25.910593
dish_1562008979,382.936646,290.0,22.224644,10.17357,35.345387
dish_1560455030,20.59,103.0,0.148,4.625,0.956
dish_1558372433,74.360001,143.0,0.286,0.429,20.02
dish_1563379132,232.050003,119.0,14.28,14.28,10.591001
dish_1565640549,45.482903,139.0,1.568471,7.043886,2.641478
dish_1563207364,309.269989,271.0,13.774,30.657,15.01
dish_1561575474,120.058434,183.0,4.966118,17.412746,2.990431
dish_1550795690,68.119995,131.0,0.262,18.34,0.393
dish_1563216717,246.007996,332.0,5.636517,16.284782,33.06871
dish_1565972591,195.199997,122.0,12.2,3.66,17.08
dish_1568649312,44.459999,78.0,0.234,10.92,0.546
dish_1550876012,253.520004,207.0,4.455999,12.46,38.608002
dish_1551565034,7.79,19.0,0.038,1.9,0.171
dish_1550860747,39.5,79.0,0.079,10.27,0.395
dish_1566245398,506.355377,230.0,31.183908,4.258222,49.023197
dish_1563381680,32.459999,6.0,2.52,0.084,2.22
dish_1562183096,41.18898,95.0,2.571043,3.28026,2.80497
dish_1563476551,1116.391113,750.0,51.413692,74.705963,85.498482
dish_1559844951,274.335999,122.0,17.906,22.792,9.784
dish_1550778583,67.759995,88.0,0.088,14.96,1.76
dish_1562963704,663.755798,479.0,28.423254,66.054832,35.921761
dish_1566417398,56.892494,46.0,5.357862,2.088042,0.792647
dish_1561739238,274.190002,257.0,9.785,37.556999,9.465
dish_1562611680,326.888977,256.0,19.411798,24.775015,16.028036
dish_1568144828,76.748177,152.0,4.168533,10.369692,1.329856
dish_1550708440,37.5,75.0,0.075,9.75,0.375
dish_1551307090,171.550003,52.0,11.686,11.48,6.152
dish_1564432238,455.387939,315.0,23.15468,34.854778,28.074873
dish_1563468327,351.886047,483.0,9.768622,57.495316,12.099887
dish_1562862493,198.320007,134.0,14.74,2.144,13.400001
dish_1558549008,20.700001,115.0,0.23,4.485,1.035
dish_1560453174,329.716248,256.0,18.145134,10.521854,32.1376
dish_1551226363,17.15,49.0,0.196,3.43,1.176
dish_1562691032,419.681702,415.0,22.039829,39.058826,17.94734
dish_1551374440,48.059998,54.0,0.162,12.42,0.594
dish_1563824250,17.200001,43.0,0.043,3.87,0.473
dish_1560543755,257.924927,264.0,8.887804,27.355255,17.404505
dish_1558549773,2.3,10.0,0.04,0.36,0.29
dish_1563822597,59.400002,176.0,2.170667,7.626667,4.106667
dish_1551492561,357.932007,159.0,28.653,7.446,18.050001
dish_1566920365,490.421692,871.0,5.324439,41.393566,60.675976
dish_1563984242,402.117035,753.0,3.30239,36.819611,49.407761
dish_1551237016,92.5,37.0,5.55,0.0,9.62
dish_1551489812,74.75,65.0,6.955,4.095,0.52
dish_1558459276,102.699997,79.0,0.237,22.120001,2.133
dish_1560974707,55.025124,60.0,2.003546,7.088692,2.992605
dish_1564686855,1030.160645,435.0,52.116467,85.930336,56.845505
dish_1565119669,55.965,229.0,1.0305,10.842,3.2725
dish_1566417516,385.402527,425.0,36.516472,23.505039,33.699574
dish_1558724031,358.710999,303.0,25.801001,25.789999,14.067
dish_1551494178,369.660004,230.0,14.521,36.071999,26.472002
dish_1551233434,27.23,104.0,0.292,5.182,2.334
dish_1551390304,39.650002,65.0,0.325,9.75,0.715
dish_1558637393,739.968018,128.0,63.360001,29.056,28.672001
dish_1563393217,49.230003,228.0,0.467667,9.802668,2.865667
dish_1562789268,569.511536,350.0,22.733551,64.756828,32.585655
dish_1563998323,634.505066,574.0,32.486301,35.302532,52.964516
dish_1568144803,66.128174,93.0,4.050533,8.068691,0.798856
dish_1551487158,94.299995,82.0,8.774,5.166,0.656
dish_1559700851,61.089886,54.0,5.827236,1.897059,1.151647
dish_1561997365,98.951996,168.0,0.672,6.048,16.800001
dish_1551395233,139.410004,113.0,2.094,5.964,24.362
dish_1561492204,488.636322,334.0,15.686282,49.120712,37.193401
dish_1567613057,406.68631,749.0,4.968488,45.862511,40.6982
dish_1563996485,178.039185,201.0,11.607642,16.567097,4.172902
dish_1550775393,402.750031,166.0,30.093002,28.189999,12.973
dish_1564761488,327.986023,336.0,8.358,40.558998,21.735001
dish_1551376970,125.389999,184.0,1.204,29.699999,2.723
dish_1559239151,9.2,40.0,0.16,1.44,1.16
dish_1559678330,169.694122,150.0,16.186766,5.269608,3.199019
dish_1563998210,148.089218,91.0,4.958992,2.163187,22.614895
dish_1565033110,47.599998,147.0,0.588,9.355,3.418
dish_1564428444,157.001038,277.0,10.32739,14.948835,4.712034
dish_1558459115,271.540009,298.0,10.487999,43.459003,6.616
dish_1564082178,549.203613,348.0,15.769115,9.967051,86.590042
dish_1550707756,87.5,35.0,5.25,0.0,9.099999
dish_1558723777,74.360001,143.0,0.286,20.02,0.429
dish_1558721757,768.873047,133.0,65.834999,30.191,29.792002
dish_1551227216,5.28,24.0,0.072,0.792,0.744
dish_1564777960,331.007507,147.0,16.715342,16.270294,26.4312
dish_1551492702,28.5,114.0,0.342,5.7,2.052
dish_1563378110,348.823059,405.0,11.770057,31.482302,26.479719
dish_1558376306,372.167999,108.0,29.484001,4.536,20.844
dish_1558114086,74.360001,143.0,0.286,0.429,20.02
dish_1550771267,20.299999,58.0,0.232,4.06,1.392
dish_1551390215,15.05,43.0,0.172,3.01,1.032
dish_1558720236,887.823059,407.0,66.440002,60.460999,31.913002
dish_1563468269,129.01001,302.0,0.56,32.762001,1.768
dish_1558380557,699.320068,212.0,54.440002,24.960001,32.732002
dish_1562873028,280.3414,320.0,16.123878,34.232201,20.963665
dish_1551565884,25.08,44.0,0.132,6.16,0.308
dish_1558637769,80.079994,154.0,0.308,21.559999,0.462
dish_1564415022,69.159996,133.0,0.266,0.931,13.3
dish_1558724959,581.441956,426.0,36.466,57.004002,21.298
dish_1551391034,48.959999,72.0,1.008,8.639999,1.728
dish_1558115867,132.962997,23.0,11.385,5.221,5.152
dish_1551391302,26.860001,79.0,0.158,6.32,0.632
dish_1551222877,104.639999,48.0,1.392,21.599998,2.88
dish_1561580370,126.795876,124.0,4.96353,16.20141,5.41
dish_1551223114,124.5,100.0,1.576,25.859999,3.936
dish_1562618000,685.993896,448.0,36.103981,30.821442,59.159676
dish_1561061658,226.000137,227.0,12.284481,24.678637,8.949248
dish_1559838402,222.759506,233.0,3.797,43.154999,5.249
